file_name,publishable,reason,section_similarities,scientific_scores
P106.pdf,Yes,Total Score: 0.702 (Methodology: 0.276; Section Coherence: 0.244; Scientific Rigor: 0.182),"{'abstract': 0.63027304, 'introduction': 0.8578269, 'methodology': 0.9018619, 'results': 0.86290944}","{'abstract': 0.5987178981304169, 'introduction': 0.5597980959074838, 'methodology': 0.6902103424072266, 'results': 0.5799867908159891}"
P087.pdf,No,Total Score: 0.637 (Methodology: 0.220; Section Coherence: 0.242; Scientific Rigor: 0.175),"{'abstract': 0.76172817, 'introduction': 0.81919193, 'methodology': 0.8370769}","{'abstract': 0.5779044330120087, 'introduction': 0.6248608976602554, 'methodology': 0.5508265733718872}"
P101.pdf,Yes,Total Score: 0.720 (Section Coherence: 0.437; Scientific Rigor: 0.283),"{'abstract': 0.86560047, 'introduction': 0.8819965}","{'abstract': 0.5831832885742188, 'introduction': 0.5503524882452828}"
P085.pdf,No,Total Score: 0.631 (Section Coherence: 0.364; Scientific Rigor: 0.268),"{'abstract': 0.7229486, 'introduction': 0.57839453, 'conclusion': 0.8799529}","{'abstract': 0.5713272094726562, 'introduction': 0.5090204179286957, 'conclusion': 0.5272446061883654}"
P102.pdf,Yes,Total Score: 0.729 (Section Coherence: 0.440; Scientific Rigor: 0.288),"{'abstract': 0.8830926, 'introduction': 0.8779614}","{'abstract': 0.6125303904215494, 'introduction': 0.5412855029106141}"
P108.pdf,Yes,Total Score: 0.655 (Section Coherence: 0.357; Scientific Rigor: 0.299),"{'abstract': 0.6900392, 'introduction': 0.7360917}","{'abstract': 0.5839491486549377, 'introduction': 0.6108880043029785}"
P105.pdf,Yes,Total Score: 0.687 (Methodology: 0.254; Section Coherence: 0.248; Scientific Rigor: 0.185),"{'abstract': 0.70600796, 'introduction': 0.7844652, 'methodology': 0.8966047, 'results': 0.91603124}","{'abstract': 0.7131881415843964, 'introduction': 0.5554281931657058, 'methodology': 0.635601890714545, 'results': 0.5594092607498169}"
P104.pdf,Yes,Total Score: 0.669 (Section Coherence: 0.398; Scientific Rigor: 0.271),"{'abstract': 0.8714487, 'introduction': 0.7208456}","{'abstract': 0.5570635994275411, 'introduction': 0.5268478095531464}"
P107.pdf,Yes,Total Score: 0.671 (Methodology: 0.246; Section Coherence: 0.256; Scientific Rigor: 0.169),"{'abstract': 0.7601638, 'introduction': 0.8580806, 'results': 0.93848443}","{'abstract': 0.5397148927052816, 'introduction': 0.5728643983602524, 'methodology': 0.6154370903968811, 'results': 0.5305769443511963}"
P093.pdf,No,Total Score: 0.598 (Methodology: 0.213; Section Coherence: 0.208; Scientific Rigor: 0.177),"{'abstract': 0.8760853, 'introduction': 0.44468847, 'methodology': 0.49264428, 'results': 0.95745224}","{'abstract': 0.6735632022221884, 'introduction': 0.6326077878475189, 'methodology': 0.5316936373710632, 'results': 0.5267843178340367}"
