file_name,publishable,features,evaluation_results,errors
P118.pdf,Yes,"[0.26259908080101013, 1, 0.2513253092765808, 1, 0.6002154350280762, 1, 0.5022183656692505, 1, 0.4699714779853821, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.26259908080101013, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.2513253092765808, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Results': {'summary': 'results suggest that combining supervision sources is the way to go about creating', 'factual_verification': 'Verified', 'coherence_with_overall': 0.6002154350280762, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Discussion': {'summary': 'Discussion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5022183656692505, 'logical_error': 'No logical errors', 'nli_relationship': 'Entailed'}, 'Conclusion': {'summary': 'Conclusions', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4699714779853821, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}}","{'factual_claims': [], 'logical_errors': [], 'methodology_issues': []}"
P111.pdf,Yes,"[0.0015750257298350334, 1, -0.023434869945049286, 1, 0.0657285675406456, 1, 1, 0.9531329274177551, 1, -0.024709288030862808]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.0015750257298350334, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': -0.023434869945049286, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.0657285675406456, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Results': {'summary': 'results demonstrate that neural networks can significantly outperform GPs as surrogate models on these problems. We believe', 'factual_verification': 'Verified', 'coherence_with_overall': 0.9531329274177551, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Discussion': {'summary': 'Discussion', 'factual_verification': 'Verified', 'coherence_with_overall': -0.024709288030862808, 'logical_error': 'No logical errors', 'nli_relationship': 'Entailed'}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.026546262204647064, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}}","{'factual_claims': [], 'logical_errors': [], 'methodology_issues': ['Methodology section too short']}"
P134.pdf,No,"[0.1582617312669754, 1, 0.21567302942276, 1, 0.10451237857341766, 1, 1, 0.1247878223657608, 1, 0.8207979798316956]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.1582617312669754, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.21567302942276, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.10451237857341766, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Results': {'summary': 'results', 'factual_verification': 'Verified', 'coherence_with_overall': 0.1247878223657608, 'logical_error': 'No logical errors', 'nli_relationship': 'Entailed'}, 'Discussion': {'summary': 'discussion on the merits of 19th-century French literature', 'factual_verification': 'Verified', 'coherence_with_overall': 0.8207979798316956, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Conclusion': {'summary': 'conclusion, our research has led us down a winding path, of discovery, and exploration, that has', 'factual_verification': 'Verified', 'coherence_with_overall': 0.290452778339386, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}}","{'factual_claims': [], 'logical_errors': [], 'methodology_issues': ['Methodology section too short']}"
P129.pdf,No,"[0.2659655809402466, 1, 0.14686515927314758, 1, 0.17697545886039734, 1, 1, 0.18816150724887848, 1, 0.9833400249481201]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.2659655809402466, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.14686515927314758, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.17697545886039734, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Results': {'summary': 'results, shedding', 'factual_verification': 'Verified', 'coherence_with_overall': 0.18816150724887848, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Conclusion': {'summary': 'conclusion, the xray phenomenon is a complex and multifaceted topic that has far-reaching', 'factual_verification': 'Verified', 'coherence_with_overall': 0.9833400249481201, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}}","{'factual_claims': [], 'logical_errors': [], 'methodology_issues': ['Methodology section too short']}"
P125.pdf,Yes,"[-0.01990697532892227, 1, -0.04870348796248436, 1, 0.9062808752059937, 1, 0.4420127272605896, 1, 0, 0]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': -0.01990697532892227, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': -0.04870348796248436, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Results': {'summary': 'results on DISCOSENSE with numerous state-of-the-art discriminator', 'factual_verification': 'Verified', 'coherence_with_overall': 0.9062808752059937, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Discussion': {'summary': 'discussion on the differences between DIS-', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4420127272605896, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}}","{'factual_claims': [], 'logical_errors': [], 'methodology_issues': []}"
P119.pdf,No,"[0.12523944675922394, 1, 0.08454824984073639, 1, 0.18338680267333984, 1, 1, 0.42867591977119446, 1, 0.9077527523040771]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.12523944675922394, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.08454824984073639, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.18338680267333984, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Results': {'summary': 'results of our experiments were nothing short of astonishing, as we observed a statistically', 'factual_verification': 'Verified', 'coherence_with_overall': 0.42867591977119446, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Discussion': {'summary': 'discussion of the thermodynamic properties of cheddar, eventually devolved into a', 'factual_verification': 'Verified', 'coherence_with_overall': 0.9077527523040771, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.1672910898923874, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}}","{'factual_claims': [], 'logical_errors': [], 'methodology_issues': ['Methodology section too short']}"
P132.pdf,No,"[0.3602841794490814, 1, 0.3942539691925049, 1, 0.3981490731239319, 1, 1, 0.5644558072090149, 1, 0.5738022327423096]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3602841794490814, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3942539691925049, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3981490731239319, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Results': {'summary': 'results indicate that the inclusion of a specially de-', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5644558072090149, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5738022327423096, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}}","{'factual_claims': [], 'logical_errors': [], 'methodology_issues': ['Methodology section too short']}"
P106.pdf,Yes,"[0.331717848777771, 1, 0.292517751455307, 1, 0.491675466299057, 1, 1, 0.7589837908744812, 1, 0.4701680839061737]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.331717848777771, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.292517751455307, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.491675466299057, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Results': {'summary': 'results that challenge conventional wisdom in the field. By pushing', 'factual_verification': 'Verified', 'coherence_with_overall': 0.7589837908744812, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4701680839061737, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}}","{'factual_claims': [], 'logical_errors': [], 'methodology_issues': ['Methodology section too short']}"
P114.pdf,Yes,"[0.47410738468170166, 1, 0.4367527961730957, 1, 0.4380473494529724, 1, 0, 0, 0, 0]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.47410738468170166, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4367527961730957, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4380473494529724, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}}","{'factual_claims': [], 'logical_errors': [], 'methodology_issues': []}"
P121.pdf,Yes,"[0.4197089970111847, 1, 0.3946484625339508, 1, 0.5395946502685547, 1, 1, 0.6279329657554626, 1, 0]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4197089970111847, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3946484625339508, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5395946502685547, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}, 'Results': {'summary': 'results demonstrate a', 'factual_verification': 'Verified', 'coherence_with_overall': 0.6279329657554626, 'logical_error': 'No logical errors', 'nli_relationship': 'Neutral'}}","{'factual_claims': [], 'logical_errors': [], 'methodology_issues': ['Methodology section too short']}"
