file_name,publishable,features,evaluation_results
P118.pdf,Yes,"[0.2625986933708191, 1, 0.25132519006729126, 1, 0.6002159714698792, 1, 0.50221848487854, 1, 0.46997126936912537, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.2625986933708191}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.25132519006729126}, 'Results': {'summary': 'results suggest that combining supervision sources is the way to go about creating', 'factual_verification': 'Verified', 'coherence_with_overall': 0.6002159714698792}, 'Discussion': {'summary': 'Discussion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.50221848487854}, 'Conclusion': {'summary': 'Conclusions', 'factual_verification': 'Verified', 'coherence_with_overall': 0.46997126936912537}}"
P111.pdf,Yes,"[0.0015750713646411896, 1, -0.02343463897705078, 1, 0.06572863459587097, 1, 1, 0.9531329870223999, 1, -0.02470921352505684, 1, 0.02654639631509781, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.0015750713646411896}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': -0.02343463897705078}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.06572863459587097}, 'Results': {'summary': 'results demonstrate that neural networks can significantly outperform GPs as surrogate models on these problems. We believe', 'factual_verification': 'Verified', 'coherence_with_overall': 0.9531329870223999}, 'Discussion': {'summary': 'Discussion', 'factual_verification': 'Verified', 'coherence_with_overall': -0.02470921352505684}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.02654639631509781}}"
P134.pdf,Yes,"[0.15826168656349182, 1, 0.2156727910041809, 1, 0.10451243072748184, 1, 1, 0.12478779256343842, 1, 0.820797860622406, 1, 0.2904523015022278, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.15826168656349182}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.2156727910041809}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.10451243072748184}, 'Results': {'summary': 'results', 'factual_verification': 'Verified', 'coherence_with_overall': 0.12478779256343842}, 'Discussion': {'summary': 'discussion on the merits of 19th-century French literature', 'factual_verification': 'Verified', 'coherence_with_overall': 0.820797860622406}, 'Conclusion': {'summary': 'conclusion, our research has led us down a winding path, of discovery, and exploration, that has', 'factual_verification': 'Verified', 'coherence_with_overall': 0.2904523015022278}}"
P129.pdf,Yes,"[0.2659657299518585, 1, 0.14686517417430878, 1, 0.17697542905807495, 1, 1, 0.18816176056861877, 1, 0.9833401441574097, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.2659657299518585}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.14686517417430878}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.17697542905807495}, 'Results': {'summary': 'results, shedding', 'factual_verification': 'Verified', 'coherence_with_overall': 0.18816176056861877}, 'Conclusion': {'summary': 'conclusion, the xray phenomenon is a complex and multifaceted topic that has far-reaching', 'factual_verification': 'Verified', 'coherence_with_overall': 0.9833401441574097}}"
P125.pdf,Yes,"[-0.019906457513570786, 1, -0.04870319366455078, 1, 0.9062805771827698, 1, 0.44201281666755676, 1, 0, 0]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': -0.019906457513570786}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': -0.04870319366455078}, 'Results': {'summary': 'results on DISCOSENSE with numerous state-of-the-art discriminator', 'factual_verification': 'Verified', 'coherence_with_overall': 0.9062805771827698}, 'Discussion': {'summary': 'discussion on the differences between DIS-', 'factual_verification': 'Verified', 'coherence_with_overall': 0.44201281666755676}}"
P119.pdf,Yes,"[0.1252395063638687, 1, 0.08454817533493042, 1, 0.18338678777217865, 1, 1, 0.4286758005619049, 1, 0.9077529907226562, 1, 0.16729125380516052, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.1252395063638687}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.08454817533493042}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.18338678777217865}, 'Results': {'summary': 'results of our experiments were nothing short of astonishing, as we observed a statistically', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4286758005619049}, 'Discussion': {'summary': 'discussion of the thermodynamic properties of cheddar, eventually devolved into a', 'factual_verification': 'Verified', 'coherence_with_overall': 0.9077529907226562}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.16729125380516052}}"
P132.pdf,Yes,"[0.36028385162353516, 1, 0.39425376057624817, 1, 0.39814919233322144, 1, 1, 0.5644562244415283, 1, 0.5738022327423096, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.36028385162353516}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.39425376057624817}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.39814919233322144}, 'Results': {'summary': 'results indicate that the inclusion of a specially de-', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5644562244415283}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5738022327423096}}"
P106.pdf,Yes,"[0.33171769976615906, 1, 0.29251766204833984, 1, 0.4916754364967346, 1, 1, 0.7589837312698364, 1, 0.4701680839061737, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.33171769976615906}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.29251766204833984}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4916754364967346}, 'Results': {'summary': 'results that challenge conventional wisdom in the field. By pushing', 'factual_verification': 'Verified', 'coherence_with_overall': 0.7589837312698364}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4701680839061737}}"
P114.pdf,No,"[0.4741067886352539, 1, 0.4367522597312927, 1, 0.4380470812320709, 1, 0, 0, 0, 0]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4741067886352539}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4367522597312927}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4380470812320709}}"
P121.pdf,Yes,"[0.41970890760421753, 1, 0.3946484327316284, 1, 0.5395946502685547, 1, 1, 0.6279329061508179, 1, 0]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.41970890760421753}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3946484327316284}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5395946502685547}, 'Results': {'summary': 'results demonstrate a', 'factual_verification': 'Verified', 'coherence_with_overall': 0.6279329061508179}}"
