file_name,publishable,features,overall_coherence_score,evaluation_results
P118.pdf,No,"[0.16399464011192322, 1, 0.0443236269056797, 1, 0.008568327873945236, 1, 0.7107358574867249, 1, 0.3851141035556793, 1]",0.2625473111867905,"{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.16399464011192322}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.0443236269056797}, 'Results': {'summary': 'results suggest that combining supervision sources is the way to go about creating', 'factual_verification': 'Verified', 'coherence_with_overall': 0.008568327873945236}, 'Discussion': {'summary': 'Discussion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.7107358574867249}, 'Conclusion': {'summary': 'Conclusions', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3851141035556793}, 'overall_coherence_score': 0.2625473111867905}"
P111.pdf,No,"[0.16399499773979187, 1, 0.04432324320077896, 1, 0.12085872888565063, 1, 1, 0.007542089093476534, 1, 0.710736095905304, 1, 0.39611151814460754, 1]",0.24059444549493492,"{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.16399499773979187}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.04432324320077896}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.12085872888565063}, 'Results': {'summary': 'results demonstrate that neural networks can significantly outperform GPs as surrogate models on these problems. We believe', 'factual_verification': 'Verified', 'coherence_with_overall': 0.007542089093476534}, 'Discussion': {'summary': 'Discussion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.710736095905304}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.39611151814460754}, 'overall_coherence_score': 0.24059444549493492}"
P134.pdf,No,"[0.16399499773979187, 1, 0.04432324320077896, 1, 0.12085872888565063, 1, 1, 0.32360878586769104, 1, 0.34980830550193787, 1, 0.1396787464618683, 1]",0.19037880127628645,"{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.16399499773979187}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.04432324320077896}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.12085872888565063}, 'Results': {'summary': 'results', 'factual_verification': 'Verified', 'coherence_with_overall': 0.32360878586769104}, 'Discussion': {'summary': 'discussion on the merits of 19th-century French literature', 'factual_verification': 'Verified', 'coherence_with_overall': 0.34980830550193787}, 'Conclusion': {'summary': 'conclusion, our research has led us down a winding path, of discovery, and exploration, that has', 'factual_verification': 'Verified', 'coherence_with_overall': 0.1396787464618683}, 'overall_coherence_score': 0.19037880127628645}"
P129.pdf,No,"[0.16399499773979187, 1, 0.04432324320077896, 1, 0.12085872888565063, 1, 1, 0.09222319722175598, 1, 0.06316395103931427, 1]",0.09691282361745834,"{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.16399499773979187}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.04432324320077896}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.12085872888565063}, 'Results': {'summary': 'results, shedding', 'factual_verification': 'Verified', 'coherence_with_overall': 0.09222319722175598}, 'Conclusion': {'summary': 'conclusion, the xray phenomenon is a complex and multifaceted topic that has far-reaching', 'factual_verification': 'Verified', 'coherence_with_overall': 0.06316395103931427}, 'overall_coherence_score': 0.09691282361745834}"
P125.pdf,No,"[0.16399499773979187, 1, 0.04432324320077896, 1, 0.010599086992442608, 1, 0.15371455252170563, 1, 0, 0]",0.09315797011367977,"{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.16399499773979187}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.04432324320077896}, 'Results': {'summary': 'results on DISCOSENSE with numerous state-of-the-art discriminator', 'factual_verification': 'Verified', 'coherence_with_overall': 0.010599086992442608}, 'Discussion': {'summary': 'discussion on the differences between DIS-', 'factual_verification': 'Verified', 'coherence_with_overall': 0.15371455252170563}, 'overall_coherence_score': 0.09315797011367977}"
P119.pdf,No,"[0.16399499773979187, 1, 0.04432324320077896, 1, 0.12085872888565063, 1, 1, 0.01213549729436636, 1, 0.012580647133290768, 1, 0.39611151814460754, 1]",0.12500077206641436,"{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.16399499773979187}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.04432324320077896}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.12085872888565063}, 'Results': {'summary': 'results of our experiments were nothing short of astonishing, as we observed a statistically', 'factual_verification': 'Verified', 'coherence_with_overall': 0.01213549729436636}, 'Discussion': {'summary': 'discussion of the thermodynamic properties of cheddar, eventually devolved into a', 'factual_verification': 'Verified', 'coherence_with_overall': 0.012580647133290768}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.39611151814460754}, 'overall_coherence_score': 0.12500077206641436}"
P132.pdf,No,"[0.16399464011192322, 1, 0.0443236269056797, 1, 0.12085753679275513, 1, 1, 0.0727439671754837, 1, 0.3961130380630493, 1]",0.15960656180977822,"{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.16399464011192322}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.0443236269056797}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.12085753679275513}, 'Results': {'summary': 'results indicate that the inclusion of a specially de-', 'factual_verification': 'Verified', 'coherence_with_overall': 0.0727439671754837}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3961130380630493}, 'overall_coherence_score': 0.15960656180977822}"
P106.pdf,No,"[0.16399464011192322, 1, 0.0443236269056797, 1, 0.12085753679275513, 1, 1, 0.0046399845741689205, 1, 0.3961130380630493, 1]",0.14598576528951526,"{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.16399464011192322}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.0443236269056797}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.12085753679275513}, 'Results': {'summary': 'results that challenge conventional wisdom in the field. By pushing', 'factual_verification': 'Verified', 'coherence_with_overall': 0.0046399845741689205}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3961130380630493}, 'overall_coherence_score': 0.14598576528951526}"
P114.pdf,No,"[0.1639947146177292, 1, 0.04432349279522896, 1, 0.3961121737957001, 1, 0, 0, 0, 0]",0.2014767937362194,"{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.1639947146177292}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.04432349279522896}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3961121737957001}, 'overall_coherence_score': 0.2014767937362194}"
P121.pdf,No,"[0.16399464011192322, 1, 0.0443236269056797, 1, 0.12085753679275513, 1, 1, 0.2688615024089813, 1, 0]",0.14950932655483484,"{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.16399464011192322}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.0443236269056797}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.12085753679275513}, 'Results': {'summary': 'results demonstrate a', 'factual_verification': 'Verified', 'coherence_with_overall': 0.2688615024089813}, 'overall_coherence_score': 0.14950932655483484}"
P110.pdf,No,"[0.1639947146177292, 1, 0.04432349279522896, 1, 0, 0, 0, 0, 0, 0]",0.10415910370647907,"{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.1639947146177292}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.04432349279522896}, 'overall_coherence_score': 0.10415910370647907}"
P117.pdf,No,"[0.16399499773979187, 1, 0.04432324320077896, 1, 0.02486266754567623, 1, 0.07043308019638062, 1, 0.07976014912128448, 1]",0.07667482756078244,"{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.16399499773979187}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.04432324320077896}, 'Results': {'summary': 'results in traditional tagging tasks but also', 'factual_verification': 'Verified', 'coherence_with_overall': 0.02486266754567623}, 'Discussion': {'summary': 'Discussion. The use of linear transformation between visual and word vector spaces has been', 'factual_verification': 'Verified', 'coherence_with_overall': 0.07043308019638062}, 'Conclusion': {'summary': 'conclusions beyond the experimental vocabulary S', 'factual_verification': 'Verified', 'coherence_with_overall': 0.07976014912128448}, 'overall_coherence_score': 0.07667482756078244}"
P120.pdf,No,"[0.16399464011192322, 1, 0.0443236269056797, 1, 0.0071154311299324036, 1, 0.06237354502081871, 1, 0.3961130380630493, 1]",0.13478405624628068,"{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.16399464011192322}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.0443236269056797}, 'Results': {'summary': 'results of this experiment are presented in Table 1.', 'factual_verification': 'Verified', 'coherence_with_overall': 0.0071154311299324036}, 'Discussion': {'summary': 'discussions regarding the extent to which high accuracy in a', 'factual_verification': 'Verified', 'coherence_with_overall': 0.06237354502081871}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3961130380630493}, 'overall_coherence_score': 0.13478405624628068}"
P130.pdf,No,"[0.16399464011192322, 1, 0.0443236269056797, 1, 0.12085753679275513, 1, 1, 0.003258633892983198, 1, 0.3961130380630493, 1]",0.1457094951532781,"{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.16399464011192322}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.0443236269056797}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.12085753679275513}, 'Results': {'summary': 'results were then analyzed using a combination of qualitative and quantitative', 'factual_verification': 'Verified', 'coherence_with_overall': 0.003258633892983198}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3961130380630493}, 'overall_coherence_score': 0.1457094951532781}"
